backer_number,heat_mild,heat_medium,heat_hot,heat_hotter,heat_superhot,flavor_sweet,flavor_smoke,flavor_fruit,flavor_vinegar,flavor_salt,flavor_garlic,pepper_Jalapeno,pepper_Serrano,pepper_Scotch Bonnet,pepper_Habanero,pepper_Ghost Pepper,pepper_Moruga Scorpion,pepper_Carolina Reaper,dietary_vegan,dietary_noGluten,dietary_noAlcohol
98,0,0,1,0,0,2.5,1.2,2.3,4.15,2.5,3.65,1,0,0,0,0,0,0,0,0,0
210,1,1,1,0,0,2.4,5,2.5,3.3,3.45,3.2,0,0,0,0,0,0,0,0,1,0
331,0,1,1,0,0,3.5,2.4,1.65,3,3.65,3.5,1,1,1,0,0,0,0,0,0,0
6,0,1,1,1,0,0.7,0.55,0.75,0.85,0.55,5,1,0,0,1,0,0,0,0,1,0
242,0,1,1,1,0,3.4,1.5,3.65,3.6,2.5,2.5,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,0,2.5,4,1.85,3.45,3.4,3.7,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
213,0,0,1,1,0,0.55,1.55,1.2,3.55,2.95,2.4,1,1,0,0,0,0,0,0,0,0
238,0,1,1,1,0,3.5,3,3.35,2.5,1.7,3.2,1,0,0,1,1,0,0,0,0,0
298,0,0,1,1,1,2.5,5,2.5,0,1.1,4,1,1,1,1,0,0,0,0,0,0
279,0,0,1,0,0,2.4,1.75,3.5,2.5,1.05,2.95,1,0,1,1,0,1,0,0,0,0
209,1,1,1,1,0,5,1.95,5,2,4.1,5,0,1,0,1,0,0,0,0,0,0
188,0,0,1,1,1,0.35,2.9,2.5,0.25,2.5,3.35,0,0,0,1,0,0,0,0,0,0
194,0,0,1,1,1,2.5,4,2.5,2.5,4.15,4.15,1,0,0,1,1,0,0,0,0,0
156,0,0,1,1,1,2,4.65,2.5,1.25,2.5,5,1,1,0,1,0,0,0,0,0,0
31,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
201,0,0,1,1,1,1.55,3,0.55,2.5,3.65,4.35,0,0,1,1,0,0,0,0,0,0
124,0,0,1,1,1,2.8,2.6,0.9,3.1,2.8,2.5,0,0,1,1,0,0,0,0,0,0
115,0,1,0,0,0,2.5,2.5,1.4,4.1,3.25,3.8,0,0,0,0,0,0,0,0,0,0
20,0,0,1,1,1,1.8,3.15,2.85,3.05,0.95,0.45,1,1,1,1,1,1,0,0,0,0
66,0,0,0,1,0,2,4.6,3.5,2.5,2.5,5,0,1,1,1,1,1,0,0,0,0
83,0,0,1,1,0,3.4,3.4,3.4,1.35,1.8,3.45,1,1,0,1,0,0,0,0,0,0
176,0,1,1,1,0,1.35,3.55,0.3,3.5,2.1,4.35,0,0,1,1,0,0,0,0,0,0
319,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
216,0,0,1,1,1,1.25,3.35,0.95,2.9,2.95,2.9,1,1,1,1,1,1,1,0,0,0
304,0,0,1,1,1,3.75,2.5,1.35,0.2,2.5,2.5,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
193,0,0,1,1,0,1.35,2.5,2.5,3.1,0.9,2.5,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
123,1,1,1,0,0,1.3,2.5,0.7,2.5,1.25,3.55,0,0,0,0,0,0,0,0,0,0
177,1,1,1,0,0,2.25,2.5,0,1.25,3.7,4.25,1,1,0,1,0,0,0,0,0,0
359,0,0,1,1,1,2.55,2.5,2.5,2.5,0.85,2.5,1,1,1,1,1,1,1,0,0,0
197,1,1,1,1,0,3.95,4.05,3.3,3.35,1.3,2.05,1,1,0,1,0,0,0,0,0,0
227,0,1,1,1,1,1.55,3,0.3,2.15,1.6,4.6,0,0,0,1,1,0,1,0,0,0
63,0,0,0,0,1,2.5,0.8,3.2,2.5,0.85,3.95,0,0,0,0,1,1,1,0,0,0
328,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
219,0,0,1,1,1,3.9,1.35,3,1.75,1.7,0.95,1,1,0,1,1,0,0,0,0,0
208,0,0,1,1,1,0.95,2.5,0.95,1.7,3.3,3.25,0,0,0,0,0,0,0,0,0,0
